id,name,nickname,description,code,alphaVal,numVal,cat,subcat,root,halfTurn,fullTurn,beginsOn,endsOn,beginsFacing,endsFacing,startGrip,endGrip,isShaposh
106,Stalder Shaposh 1/2,Chow 1/2,Stalder bwd through hstd with flight and 1/2 turn (180 deg) to hang on HB,4.505,E,5,Transitions,,Stalder bwd,1,0,low,other,low,other,regular,regular,0
107,Inbar fwd,,Clear pike circle fwd to hstd,4.406,D,4,Pirouettes,,Inbar fwd,0,0,either,same,either,same,reverse/L,reverse/L,0
108,Inbar fwd 1/2,,Clear pike circle fwd with 1/2 turn (180 deg) to hstd,4.406,D,4,Pirouettes,,Inbar fwd,1,0,either,same,either,other,reverse/L,regular,0
109,Inbar fwd 1/1,,Clear pike circle fwd with 1/1 turn (360 deg) to hstd,4.506,E,5,Pirouettes,,Inbar fwd,1,1,either,same,either,same,reverse/L,reverse/L,0
110,Inbar bwd,,Clear pike circle bwd to hstd,4.407,D,4,Pirouettes,,Inbar bwd,0,0,either,same,either,same,regular,regular,0
111,Inbar bwd 1/2,,Clear pike circle bwd with 1/2 turn (180 deg) to hstd,4.407,D,4,Pirouettes,,Inbar bwd,1,0,either,same,either,other,regular,reverse/L,0
112,Inbar bwd 1/1,,Clear pike circle bwd with 1/1 turn (360 deg) to hstd,4.507,E,5,Pirouettes,,Inbar bwd,1,1,either,same,either,same,regular,regular,0
113,Inbar shoot to HB,,Clear pike circle bwd on LB with counter flight to hang on HB,4.208,B,2,Transitions,,Inbar bwd,0,0,low,other,high,same,regular,regular,0
114,Inbar hecht,,Clear pike circle bwd on LB with hecht flight to hang on HB,4.308,C,3,Transitions,,Inbar bwd,0,0,low,other,high,same,regular,regular,0
115,Inbar shaposh,Komova II,Clear pike circle bwd through hstd with flight to hang on HB,4.508,E,5,Transitions,,Inbar bwd,0,0,low,other,low,same,regular,regular,1
116,Inbar shaposh 1/2,Komova I,Clear pike circle bwd through hstd with flight and 1/2 turn (180 deg) to hang on HB,4.508,E,5,Transitions,,Inbar bwd,1,0,low,other,low,other,regular,regular,0
117,Jam to hstd,,Stoop in to Adler-seat (pike) circle fwd through clear extended support to finish in L grip (deviation up to 30 deg allowed),5.501,E,5,Pirouettes,,,0,0,either,same,either,same,reverse/L,L,0
118,Jam to hstd 1/2,,Stoop in to Adler-seat (pike) circle fwd through clear extended support with 1/2 turn (180 deg),5.501,E,5,Pirouettes,,,1,0,either,same,either,other,reverse/L,regular,0
119,Toe-on fwd,,Pike sole circle fwd in reverse grip to hstd,5.305,C,3,Pirouettes,,Toe-on fwd,0,0,either,same,either,same,reverse,reverse,0
120,Toe-on fwd 1/2,,Pike sole circle fwd in reverse grip to hstd with 1/2 turn (180 deg) to hstd,5.305,C,3,Pirouettes,,Toe-on fwd,1,0,either,same,either,other,reverse,regular,0
121,Toe-on fwd 1/1,,Pike sole circle fwd in reverse grip with 1/1 turn (360 deg) to hstd,5.405,D,4,Pirouettes,,Toe-on fwd,1,1,either,same,either,same,reverse,reverse,0
122,Toe-on fwd in L grip,,Pike sole circle fwd in L grip to hstd,5.306,C,3,Pirouettes,,Toe-on fwd,0,0,either,same,either,same,L,L,0
123,Toe-on fwd 1/2 in L grip,,Pike sole circle fwd in L grip with 1/2 turn (180 deg),5.306,C,3,Pirouettes,,Toe-on fwd,1,0,either,same,either,other,L,regular,0
124,Toe-on fwd 1/1 in L grip,,Pike sole circle fwd in L grip with 1/1 turn (360 deg) to hstd,5.406,D,4,Pirouettes,,Toe-on fwd,1,1,either,same,either,same,L,L,0
125,Toe-on shoot to HB,,Underswing on LB (support of feet) with counter movement fwd in flight to hang on HB,5.207,B,2,Transitions,,Toe-on bwd,0,0,low,other,high,same,regular,regular,0
126,Toe-on Counter-Kim,,Facing outward on HB–underswing with support of feet-counter salto fwd straddled to catch on HB,5.607,F,6,Release Moves,,Toe-on bwd,0,0,high,same,high,same,regular,reverse/L,0
127,Toe-on bwd,,Pike sole circle bwd to hstd,5.308,C,3,Pirouettes,,Toe-on bwd,0,0,either,same,either,same,regular,regular,0
128,Toe-on bwd w/ grip change,,Pike sole circle bwd to hstd with hop-grip change to reverse grip in hstd phase,5.308,C,3,Pirouettes,,Toe-on bwd,0,0,either,same,either,same,regular,reverse/L,0
129,Toe-on bwd 1/2,,Pike sole circle bwd to hstd with 1/2 turn (180 deg),5.308,C,3,Pirouettes,,Toe-on bwd,1,0,either,same,either,other,regular,reverse/L,0
130,Toe-on bwd 1/1,,Pike sole circle bwd with 1/1 turn (360 deg) to hstd,5.408,D,4,Pirouettes,,Toe-on bwd,1,1,either,same,either,same,regular,regular,0
131,Toe-on bwd 3/2,,Pike sole circle bwd with 1 1/2 turn (540 deg) to hstd,5.508,E,5,Pirouettes,,Toe-on bwd,1,1,either ,same,either,other,regular,reverse/L,0
132,Toe-on Shaposh,Maloney,Inner front support on LB – pike sole circle bwd through hstd with flight to hang on HB,5.409,D,4,Transitions,,Toe-on bwd,0,0,low,other,low,same,regular,regular,1
133,Toe-on Shaposn 1/2,Van Leeuwen,Facing outward on LB – pike sole circle bwd through hstd with flight and 1/2 turn (180 deg) hang on HB,5.509,E,5,Transitions,,Toe-on bwd,1,0,low,other,low,other,regular,regular,0
134,Toe-on Shaposh 1/1,Seitz,Facing outward on LB – pike sole circle bwd through hstd with flight and 1/1 turn (360 deg) to hang on HB,5.509,E,5,Transitions,,Toe-on bwd,1,0,low,other,low,same,regular,regular,1
135,Toe-on Tkatchev,Ray,Pike sole circle bwd counter straddle-reverse hecht over HB to hang,5.41,D,4,Release Moves,,Toe-on bwd,0,0,high,same,either,same,regular,regular,0
136,Toe-on piked Tkatchev,Church,Pike sole circle bwd counter pike hecht over HB to hang,5.51,E,5,Release Moves,,Toe-on bwd,0,0,high,same,either,same,regular,regular,0
137,Toe-on Tkatchev 1/2,Tweddle,Pike sole circle bwd with counter straddle hecht over HB with 1/2 turn (180 deg) to hang in mixed L-grip,5.61,F,6,Release Moves,,Toe-on bwd,1,0,high,same,either,other,regular,reverse/L,0
138,Toe-on laid-out Tkatchev,Nabieva,Pike sole circle bwd with counter stretched – reverse hecht in layout position over HB to hang,5.71,G,7,Release Moves,,Toe-on bwd,0,0,high,same,either,same,regular,regular,0
139,Toe-on bwd to 1/2 turn,,From HB – underswing with 1/2 turn (180 deg) to stand,6.101,A,1,Dismounts,,Toe-on bwd,1,0,high,,high,,regular,,0
140,Toe-on bwd to 1/1 turn,,From HB – underswing with 1/1 turn (360 deg) to stand,6.101,A,1,Dismounts,,Toe-on bwd,1,0,high,,high,,regular,,0
141,Toe-on bwd to front tuck,,From HB – underswing with salto fwd tucked or piked,6.201,B,2,Dismounts,,Toe-on bwd,0,0,high,,high,,regular,,0
142,Toe-on bwd to front pike,,From HB – underswing with salto fwd piked,6.201,B,2,Dismounts,,Toe-on bwd,0,0,high,,high,,regular,,0
143,Toe-on bwd to front tuck 1/2,,From HB – underswing with salto fwd tucked with 1/2 turn (180 deg),6.301,C,3,Dismounts,,Toe-on bwd,1,0,high,,high,,regular,,0
144,Toe-on bwd to front pike 1/2,,From HB – underswing with salto fwd piked with 1/2 turn (180 deg),6.301,C,3,Dismounts,,Toe-on bwd,1,0,high,,high,,regular,,0
145,Toe-on bwd to front tuck 1/1,,From HB – underswing with salto fwd tucked with 1/1 turn (360 deg),6.301,C,3,Dismounts,,Toe-on bwd,1,0,high,,high,,regular,,0
146,Toe-on bwd to front pike 1/1,,From HB – underswing with salto fwd piked with 1/1 turn (360 deg),6.301,C,3,Dismounts,,Toe-on bwd,1,0,high,,high,,regular,,0
147,Toe-on bwd to front tuck 3/2,,From HB – underswing with salto fwd tucked with 1 1/2 turn (540 deg),6.401,D,4,Dismounts,,Toe-on bwd,1,0,high,,high,,regular,,0
148,Toe-on bwd to front layout 1/2,,From HB – underswing with salto fwd stretched with 1 1/2 turn (540 deg),6.401,D,4,Dismounts,,Toe-on bwd,1,0,high,,high,,regular,,0
149,Clear hip bwd to 1/2 turn,,From HB – clear underswing with 1/2 turn (180 deg) to stand,6.102,A,1,Dismounts,,Clear hip bwd,1,0,high,,high,,regular,,0
150,Clear hip bwd to 1/1 turn,,From HB – clear underswing with 1/1 turn (360 deg) to stand,6.102,A,1,Dismounts,,Clear hip bwd,1,0,high,,high,,regular,,0
151,Clear hip bwd to front tuck,,From HB – clear underswing with salto fwd tucked,6.302,C,3,Dismounts,,Clear hip bwd,0,0,high,,high,,regular,,0
152,Clear hip bwd to front pike,,From HB – clear underswing with salto fwd piked,6.302,C,3,Dismounts,,Clear hip bwd,0,0,high,,high,,regular,,0
153,Clear hip bwd to front tuck 1/2,,From HB – clear underswing with salto fwd tucked with 1/2 turn (180 deg),6.302,C,3,Dismounts,,Clear hip bwd,1,0,high,,high,,regular,,0
154,Clear hip bwd to front tuck 1/1,,From HB – clear underswing with salto fwd piked with 1/2 turn (180 deg),6.302,C,3,Dismounts,,Clear hip bwd,1,0,high,,high,,regular,,0
155,Stalder to front tuck,,Clear straddle circle with salto fwd tucked,6.302,C,3,Dismounts,,Stalder bwd,0,0,high,,high,,regular,,0
156,Clear hip bwd to front tuck 1/1,,From HB – clear underswing with salto fwd tucked with 1/1 turn (360 deg),6.402,D,4,Dismounts,,Clear hip bwd,1,0,high,,high,,regular,,0
157,Inbar bwd to front layout 1/2,,Clear Pike underswing to salto forward stretched with 1/2 turn (180 deg),6.402,D,4,Dismounts,,Inbar bwd,1,0,high,,high,,regular,,0
158,Clear hip bwd to front tuck 3/2,,From HB – clear underswing with salto fwd tucked with 1 1/2 turn (540 deg),6.502,E,5,Dismounts,,Clear hip bwd,1,0,high,,high,,regular,,0
159,Toe-on bwd 1/2 turn to back tuck,,From HB – underswing with 1/2 turn (180 deg) to salto bwd tucked,6.303,C,3,Dismounts,,Toe-on bwd,1,0,high,,high,,regular,,0
160,Toe-on bwd 1/2 turn to back pike,,From HB – underswing with 1/2 turn (180 deg) to salto bwd piked,6.303,C,3,Dismounts,,Toe-on bwd,1,0,high,,high,,regular,,0
161,Clear hip bwd 1/2 turn to back tuck,,From HB – clear underswing with 1/2 turn (180 deg) to salto bwd tucked,6.303,C,3,Dismounts,,Clear hip bwd,1,0,high,,high,,regular,,0
162,Clear hip bwd 1/2 turn to back pike,,From HB – clear underswing with 1/2 turn (180 deg) to salto bwd piked,6.303,C,3,Dismounts,,Clear hip bwd,1,0,high,,high,,regular,,0
163,Toe-on bwd 1/2 turn to back layout,,From HB – underswing with 1/2 turn (180 deg) to salto bwd stretched,6.403,D,4,Dismounts,,Toe-on bwd,1,0,high,,high,,regular,,0
164,Clear hip bwd 1/2 turn to back layout,,From HB – clear underswing with 1/2 turn (180 deg) to salto bwd stretched,6.403,D,4,Dismounts,,Clear hip bwd,1,0,high,,high,,regular,,0
165,Toe-on bwd 1/2 turn to back tuck 1/1,,From HB – underswing with 1/2 turn (180 deg) to salto bwd tucked with 1/1 twist (360 deg),6.403,D,4,Dismounts,,Toe-on bwd,1,0,high,,high,,regular,,0
166,Flyaway,,Swing fwd to salto bwd tucked piked or stretched,6.104,A,1,Dismounts,,Giant,0,0,high,,high,,regular,,0
167,1/2 twist,,Swing fwd to salto bwd tucked or stretched with 1/2 turn (180 deg),6.204,B,2,Dismounts,,Giant,1,0,high,,high,,regular,,0
168,Full twist,,Swing fwd to salto bwd tucked or stretched with 1/1 turn (360 deg),6.204,B,2,Dismounts,,Giant,1,0,high,,high,,regular,,0
169,3/2 twist,,Swing fwd to salto bwd stretched with 1 1/2 turn (540 deg),6.304,C,3,Dismounts,,Giant,1,0,high,,high,,regular,,0
170,Double twist,,Swing fwd to salto bwd stretched with 2/1 turn (720 deg),6.304,C,3,Dismounts,,Giant,1,0,high,,high,,regular,,0
171,5/2 twist,,Swing fwd to salto bwd stretched with 21/2 turn (900 deg),6.404,D,4,Dismounts,,Giant,1,0,high,,high,,regular,,0
172,Triple twist,,Swing fwd to salto bwd stretched with 3/1 turn (1080 deg),6.504,E,5,Dismounts,,Giant,1,0,high,,high,,regular,,0
173,Double back tuck,,Swing fwd to double salto bwd tucked,6.205,B,2,Dismounts,,Giant,0,0,high,,high,,regular,,0
174,Double back pike,,Swing fwd to double salto bwd piked,6.305,C,3,Dismounts,,Giant,0,0,high,,high,,regular,,0
175,Full-twisting double tuck,,Swing fwd to double salto bwd tucked with 1/1 turn (360 deg) in first or second salto,6.405,D,4,Dismounts,,Giant,1,0,high,,high,,regular,,0
176,Full-twisting double pike,,Swing fwd to double salto bwd piked with 1/1 turn (360 deg) in first or second salto,6.405,D,4,Dismounts,,Giant,1,0,high,,high,,regular,,0
177,3/2-twisting double tuck,Mustafina,Swing fwd to double salto bwd tucked with 1 1/2 turn (540 deg),6.505,E,5,Dismounts,,Giant,1,0,high,,high,,regular,,0
178,Double-twisting double tuck,Fabrichnova,Swing fwd to double salto bwd tucked with 2/1 turn (720 deg),6.605,F,6,Dismounts,,Giant,1,0,high,,high,,regular,,0
179,Double layout,,Swing fwd to double salto bwd stretched,6.406,D,4,Dismounts,,Giant,0,0,high,,high,,regular,,0
180,Full-twisting double layout,,Swing fwd to double salto bwd stretched with 1/1 turn (360 deg) in first or second salto,6.506,E,5,Dismounts,,Giant,1,0,high,,high,,regular,,0
181,Double-twisting double layout,Ray,Swing fwd to double salto bwd stretched with 2/1 turn (720 deg),6.706,G,7,Dismounts,,Giant,1,0,high,,high,,regular,,0
182,Back tuck 1/2 into front tuck,,Swing fwd to salto bwd tucked with 1/2 turn (180 deg) – into salto fwd tucked,6.407,D,4,Dismounts,,Giant,1,0,high,,high,,regular,,0
183,Double Arabian tucked,,Swing fwd with 1/2 turn (180 deg) to double salto fwd tucked,6.407,D,4,Dismounts,,Giant,1,0,high,,high,,regular,,0
184,Back layout 1/2 into front layout,,Swing fwd to salto bwd stretched with 1/2 turn (180 deg) – into salto fwd stretched,6.507,E,5,Dismounts,,Giant,1,0,high,,high,,regular,,0
185,Double Arabian piked,,Swing fwd with 1/2 turn (180 deg) to double salto fwd piked,6.507,E,5,Dismounts,,Giant,1,0,high,,high,,regular,,0
186,Triple back,Magana,Swing fwd to triple salto bwd tucked,6.707,G,7,Dismounts,,Giant,0,0,high,,high,,regular,,0
187,Front tuck,,Swing bwd to salto fwd tucked,6.108,A,1,Dismounts,,Giant,0,0,high,,low,,reverse/L,,0
188,Front pike,,Swing bwd to salto fwd piked,6.108,A,1,Dismounts,,Giant,0,0,high,,low,,reverse/L,,0
189,Front layout,,Swing bwd to salto fwd stretched,6.108,A,1,Dismounts,,Giant,0,0,high,,low,,reverse/L,,0
190,Stalder fwd to front tuck,,Clear straddle circle fwd on HB to salto fwd tucked,6.108,A,1,Dismounts,,Stalder fwd,0,0,high,,low,,reverse/L,,0
191,Front tuck 1/2,,Swing bwd to salto fwd tucked with 1/2 turn (180 deg),6.208,B,2,Dismounts,,Giant,1,0,high,,low,,reverse/L,,0
192,Front layout 1/2,,Swing bwd to salto fwd stretched with 1/2 turn (180 deg),6.208,B,2,Dismounts,,Giant,1,0,high,,low,,reverse/L,,0
193,Front tuck 1/1,,Swing bwd to salto fwd tucked with 1/1 turn (360 deg),6.208,B,2,Dismounts,,Giant,1,0,high,,low,,reverse/L,,0
194,Front layout 1/1,,Swing bwd to salto fwd stretched with 1/1 turn (360 deg),6.208,B,2,Dismounts,,Giant,1,0,high,,low,,reverse/L,,0
195,Front layout 3/2,,Swing bwd to salto fwd stretched with 1 1/2 turn (540 deg),6.308,C,3,Dismounts,,Giant,1,0,high,,low,,reverse/L,,0
196,Front layout 2/1,,Swing bwd to salto fwd stretched 2/1 turn (720 deg),6.308,C,3,Dismounts,,Giant,1,0,high,,low,,reverse/L,,0
197,Double front tuck,,Swing bwd to double salto fwd tucked,6.408,D,4,Dismounts,,Giant,0,0,high,,low,,reverse/L,,0
198,Double front tuck 1/2 out,,Swing bwd to double salto fwd tucked with 1/2 turn (180 deg),6.508,E,5,Dismounts,,Giant,1,0,high,,low,,reverse/L,,0
199,Front tuck 1/2 into back tuck,,Swing bwd to salto fwd with 1/2 turn (180 deg) into salto bwd tucked,6.508,E,5,Dismounts,,Giant,1,0,high,,low,,reverse/L,,0
200,Double front pike 1/2 out,,Swing bwd to double salto fwd piked with 1/2 turn (180 deg),6.608,F,6,Dismounts,,Giant,1,0,high,,low,,reverse/L,,0
201,Hip circle on LB to hecht,,Hip circle bwd (also clear) on LB – hecht,6.209,B,2,Dismounts,,Clear hip bwd,0,0,low,,low,,regular,,0
202,Hip circle on HB to hecht,,Hip circle bwd (also clear) on HB – hecht,6.209,B,2,Dismounts,,Clear hip bwd,0,0,high,,high,,regular,,0
203,Hip circle on LB to hecht 1/1,,Hip circle bwd (also clear) on LB – hecht with 1/1 turn (360 deg),6.309,C,3,Dismounts,,Clear hip bwd,1,0,low,,low,,regular,,0
204,Hip circle on HB to hecht 1/1,,Hip circle bwd (also clear) on HB – hecht with 1/1 turn (360 deg),6.309,C,3,Dismounts,,Clear hip bwd,1,0,high,,high,,regular,,0
205,Hip circle on LB to hecht back tuck,,Hip circle bwd (also clear) on LB – hecht with salto bwd tucked,6.409,D,4,Dismounts,,Clear hip bwd,0,0,low,,low,,regular,,0
206,Hip circle on HB to hecht back tuck,,Hip circle bwd (also clear) on HB – hecht with salto bwd tucked,6.409,D,4,Dismounts,,Clear hip bwd,0,0,high,,high,,regular,,0
207,Hip circle on LB to hecht 1/2 to front tuck,,Hip circle bwd (also clear) on LB – hecht with 1/2 turn (180 deg) to salto fwd,6.509,E,5,Dismounts,,Clear hip bwd,1,0,low,,low,,regular,,0
208,Hip circle on HB to hecht 1/2 to front tuck,,Hip circle bwd (also clear) on HB – hecht with 1/2 turn (180 deg) to salto fwd,6.509,E,5,Dismounts,,Clear hip bwd,1,0,high,,high,,regular,,0
209,Hip circle on LB to hecht 1/1 to back tuck,,Hip circle bwd (also clear) on LB – hecht with 1/1 turn (360 deg) to salto bwd,6.609,F,6,Dismounts,,Clear hip bwd,1,0,low,,low,,regular,,0
210,Hip circle on HB to hecht 1/1 to back tuck,,Hip circle bwd (also clear) on HB – hecht with 1/1 turn (360 deg) to salto bwd,6.609,F,6,Dismounts,,Clear hip bwd,1,0,high,,high,,regular,,0
211,Front tuck from hstd,,On HB - salto fwd tucked,6.21,B,2,Dismounts,,,0,0,high,,high,,regular,,0
212,Front pike from hstd,,On HB – salto fwd piked or salto bwd tucked or piked,6.31,C,3,Dismounts,,,0,0,high,,high,,regular,,0
213,Back tuck from hstd,,On HB – salto fwd piked or salto bwd tucked or piked,6.31,C,3,Dismounts,,,0,0,high,,high,,regular,,0
214,Back pike from hstd,,On HB – salto fwd piked or salto bwd tucked or piked,6.31,C,3,Dismounts,,,0,0,high,,high,,regular,,0